asset_id,date,alarm_count,exceeds_isa_target
P-0100,2025-01-01,4,False
P-0100,2025-01-02,5,False
P-0100,2025-01-03,8,False
P-0100,2025-01-04,4,False
P-0100,2025-01-05,2,False
P-0100,2025-01-06,10,False
P-0100,2025-01-07,7,False
P-0100,2025-01-08,6,False
P-0100,2025-01-09,2,False
P-0100,2025-01-10,7,False
P-0100,2025-01-11,3,False
P-0100,2025-01-12,4,False
P-0100,2025-01-13,3,False
P-0100,2025-01-14,7,False
P-0100,2025-01-15,7,False
P-0100,2025-01-16,5,False
P-0100,2025-01-17,9,False
P-0100,2025-01-18,4,False
P-0100,2025-01-19,7,False
P-0100,2025-01-20,7,False
P-0100,2025-01-21,2,False
P-0100,2025-01-22,9,False
P-0100,2025-01-23,3,False
P-0100,2025-01-24,3,False
P-0100,2025-01-25,10,False
P-0100,2025-01-26,8,False
P-0100,2025-01-27,6,False
P-0100,2025-01-28,4,False
P-0100,2025-01-29,6,False
P-0100,2025-01-30,8,False
P-0100,2025-01-31,9,False
P-0100,2025-02-01,4,False
P-0100,2025-02-02,5,False
P-0100,2025-02-03,6,False
P-0100,2025-02-04,5,False
P-0100,2025-02-05,5,False
P-0100,2025-02-06,7,False
P-0100,2025-02-07,8,False
P-0100,2025-02-08,3,False
P-0100,2025-02-09,6,False
P-0100,2025-02-10,4,False
P-0100,2025-02-11,5,False
P-0100,2025-02-12,5,False
P-0100,2025-02-13,5,False
P-0100,2025-02-14,8,False
P-0100,2025-02-15,3,False
P-0100,2025-02-16,8,False
P-0100,2025-02-17,7,False
P-0100,2025-02-18,10,False
P-0100,2025-02-19,7,False
P-0100,2025-02-20,4,False
P-0100,2025-02-21,4,False
P-0100,2025-02-22,10,False
P-0100,2025-02-23,5,False
P-0100,2025-02-24,6,False
P-0100,2025-02-25,2,False
P-0100,2025-02-26,5,False
P-0100,2025-02-27,8,False
P-0100,2025-02-28,7,False
P-0100,2025-03-01,7,False
P-0100,2025-03-02,8,False
P-0100,2025-03-03,5,False
P-0100,2025-03-04,9,False
P-0100,2025-03-05,2,False
P-0100,2025-03-06,4,False
P-0100,2025-03-07,3,False
P-0100,2025-03-08,9,False
P-0100,2025-03-09,7,False
P-0100,2025-03-10,5,False
P-0100,2025-03-11,3,False
P-0100,2025-03-12,4,False
P-0100,2025-03-13,8,False
P-0100,2025-03-14,6,False
P-0100,2025-03-15,4,False
P-0100,2025-03-16,7,False
P-0100,2025-03-17,9,False
P-0100,2025-03-18,12,False
P-0100,2025-03-19,6,False
P-0100,2025-03-20,7,False
P-0100,2025-03-21,9,False
P-0100,2025-03-22,4,False
P-0100,2025-03-23,4,False
P-0100,2025-03-24,5,False
P-0100,2025-03-25,7,False
P-0100,2025-03-26,4,False
